Word,Mean,Type,Gender,Vachana,Viphat,ID,Category,Read,Note
"ภาเวติ","เจริญ(-กุศลธรรม)","คำกิริยาอาขยาต",,,,794,"กิริยาอาขยาต","ภา-เว-ติ",
"อภิวฑฺฒติ,ปวฑฺฒติ","เจริญยิ่ง","คำกิริยาอาขยาต",,,,795,"กิริยาอาขยาต","อะ-ภิ-วัด-ทะ-ติ,ปะ-วัด-ทะ-ติ",
"สํวิทหติ","จัดแจง","คำกิริยาอาขยาต",,,,796,"กิริยาอาขยาต","สัง-วิด-หะ-ติ",
"สมฺปาเทติ","จัดทำให้สำเร็จ","คำกิริยาอาขยาต",,,,797,"กิริยาอาขยาต","สัม-ปา-เท-ติ",
"อุปรจติ","จัดเรียงไว้","คำกิริยาอาขยาต",,,,798,"กิริยาอาขยาต","อุ-ปะ-ระ-จะ-ติ",
"ปจฺจุปฏฺเฐติ","จัดไว้","คำกิริยาอาขยาต",,,,799,"กิริยาอาขยาต","ปัด-จุ-ปัด-เฐ-ติ",
"นิวตฺตติ","กลับ(จาก)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",617,"กิริยาอาขยาต",,
"คณฺหาติ","จับ,ฉวย","คำกิริยาอาขยาต",,,,800,"กิริยาอาขยาต","คัน-หา-ติ",
"คณฺหาติ","จับเอา","คำกิริยาอาขยาต",,,,801,"กิริยาอาขยาต","คัน-หา-ติ",
"ปรามสติ","จับต้อง","คำกิริยาอาขยาต",,,,802,"กิริยาอาขยาต","ปะ-รา-มะ-สะ-ติ",
"ขิปติ","จาม","คำกิริยาอาขยาต",,,,803,"กิริยาอาขยาต","ขิ-ปะ-ติ",
"วหติ","จุ(-น้ำหนัก)","คำกิริยาอาขยาต",,,,804,"กิริยาอาขยาต","วะ-หะ-ติ",
"ถเกติ","จุก,กั้น","คำกิริยาอาขยาต",,,,805,"กิริยาอาขยาต","ถะ-เก-ติ",
"เทติ","จุด(-ไฟ)","คำกิริยาอาขยาต",,,,806,"กิริยาอาขยาต","เท-ติ",
"จุมฺพติ,จุมฺเพติ","จูบ","คำกิริยาอาขยาต",,,,807,"กิริยาอาขยาต","จุม-พะ-ติ,จุม-เพ-ติ",
"ภาเชติ","แจก,แบ่ง","คำกิริยาอาขยาต",,,,808,"กิริยาวิเสสนสังขยา","ภา-เช-ติ",
"อาวิภวติ","แจ่มแจ้ง","คำกิริยาอาขยาต",,,,809,"กิริยาอาขยาต","อา-วิ-ภะ-วะ-ติ",
"กจฺฉํ พนฺธติ","โจงกระเบน","คำกิริยาอาขยาต",,,,810,"กิริยาอาขยาต","กัด-ฉัง-พัน-ธะ-ติ",
